pid,x,y
800,607818.1121367947,227566.67344482327
801,607817.5086510961,227565.90445759802
802,607817.50261359,227565.89597281438
803,607816.8805792514,227565.1284739262
804,607816.2461969334,227564.37114946716
805,607815.599633029,227563.62419807707
806,607814.9410571263,227562.88781567494
807,607814.2706419644,227562.16219540764
808,607813.5885633873,227561.44752759917
809,607812.895,227560.744
810,607812.7373508768,227560.58712612884
811,607812.0332147194,227559.9002910696
812,607811.318,227559.225
813,607811.2623954382,227559.173395643
814,607810.5322462659,227558.5075227985
815,607809.7914119528,227557.85355874803
816,607809.0400867093,227557.21167492896
817,607808.278467496,227556.5820396117
818,607807.5067539721,227555.96481785586
819,607806.7251484432,227555.36017146663
820,607805.933855808,227554.76825895277
821,607805.1330835044,227554.18923548463
822,607804.3230414558,227553.62325285387
823,607803.5039420156,227553.07045943337
824,607802.676,227552.531
825,607802.0171396055,227552.1197187025
826,607801.1771750827,227551.61227989715
827,607800.3290492357,227551.1186027879
828,607799.4729875111,227550.63881860278
829,607798.6092174652,227550.17305487682
830,607797.7379687031,227549.7214354183
831,607796.8594728183,227549.2840802755
832,607795.9739633303,227548.86110570515
833,607795.081675623,227548.4526241413
834,607794.1828468821,227548.05874416555
835,607793.2777160322,227547.67957047807
836,607792.3665236731,227547.31520386995
837,607791.4495120154,227546.96574119615
838,607790.5269248171,227546.63127535005
839,607789.5990073181,227546.31189523853
840,607788.6660061751,227546.00768575844
841,607787.7281693962,227545.71872777396
842,607786.7857462749,227545.44509809525
843,607785.8389873238,227545.18686945786
844,607784.8881442081,227544.9441105035
845,607783.9334696786,227544.71688576177
846,607782.9752175044,227544.50525563298
847,607782.013642406,227544.30927637214
848,607781.049,227544.129
849,607747.964,227538.198
850,607692.45,227528.302
851,607691.4434442142,227528.12542653325
852,607689.6750680781,227527.82796252507
853,607687.9041082506,227527.54628845013
854,607686.1307057182,227527.28042673253
855,607684.3550016616,227527.03039853758
856,607682.5771374448,227526.79622377004
857,607680.7972546039,227526.57792107257
858,607679.0154948356,227526.37550782433
859,607677.232,227526.189
860,607676.2460921006,227526.09286378557
861,607674.4608828923,227525.93126704148
862,607672.6743024033,227525.7856113463
863,607670.8864929766,227525.65590830488
864,607669.097597053,227525.54216825112
865,607667.3077571599,227525.44440024707
866,607665.5171159002,227525.36261208227
867,607663.7258159401,227525.29681027302
868,607661.934,227525.247
869,607631.282,227524.507
870,607630.8386033392,227524.49674780085
871,607630.1149913891,227524.46711379135
872,607629.3922106603,227524.4215018767
873,607628.6706139138,227524.3599343183
874,607627.950553333,227524.28244116486
875,607627.2323803516,227524.1890602378
876,607626.5164454819,227524.07983711277
877,607625.8030981439,227523.95482509726
878,607625.0926864946,227523.8140852048
879,607624.3855572584,227523.65768612508
880,607623.6820555577,227523.48570419042
881,607622.9825247442,227523.2982233385
882,607622.287306232,227523.09533507147
883,607621.59673933,227522.87713841116
884,607620.9111610771,227522.64373985096
885,607620.2309060774,227522.39525330358
886,607619.5563063371,227522.13180004567
887,607618.887691102,227521.85350865853
888,607618.2253866972,227521.5605149654
889,607617.569716368,227521.25296196507
890,607616.921,227520.931
891,607616.5530863669,227520.74031374115
892,607615.9161368288,227520.39602184057
893,607615.2869502882,227520.0377399348
894,607614.6658339734,227519.66564297103
895,607614.0530911724,227519.27991264215
896,607613.449021084,227518.88073729826
897,607612.8539186724,227518.4683118545
898,607612.2680745231,227518.04283769603
899,607611.6917747005,227517.60452257958
900,607611.1253006087,227517.1535805321
901,607610.568928854,227516.69023174612
902,607610.0229311098,227516.2147024724
903,607609.4875739837,227515.72722490938
904,607608.963118888,227515.22803708963
905,607608.4498219109,227514.717382764
